Product,Year,Month,QTY
P1,2013,1,10560.87
P1,2013,2,25603.21
P1,2013,3,41074.87
P1,2013,4,25825.12
P1,2013,5,61335.59
P1,2013,6,48900.15
P1,2013,7,30311.3
P1,2013,8,16401.56
P1,2013,9,25838.9
P1,2013,10,24592.38
P1,2013,11,48014.8
P1,2013,12,55442.14
P1,2014,1,30413.27
P1,2014,2,62888.38
P1,2014,3,42878.29
P1,2014,4,45205.05
P1,2014,5,40604.44
P1,2014,6,45580.23
P1,2014,7,37378.85
P1,2014,8,35339.06
P1,2014,9,23410.61
P1,2014,10,32424.67
P1,2014,11,48851.76
P1,2014,12,21137.05
P1,2015,1,19680.94
P1,2015,2,21932.68
P1,2015,3,39348.06
P1,2015,4,32551.99
P1,2015,5,21776.73
P1,2015,6,46063.59
P1,2015,7,20965.05
P1,2015,8,33128.7
P1,2015,9,24735.97
P2,2013,1,80724.91
P2,2013,2,109313.65
P2,2013,3,186553.98
P2,2013,4,133871.13
P2,2013,5,166966.6
P2,2013,6,283087.11
P2,2013,7,198498.76
P2,2013,8,178052.64
P2,2013,9,112475.82
P2,2013,10,96815.23
P2,2013,11,151958.12
P2,2013,12,111970.06
P2,2014,1,67860.23
P2,2014,2,92426.92
P2,2014,3,136198.51
P2,2014,4,86289.23
P2,2014,5,139609.51
P2,2014,6,300482.32
P2,2014,7,157793.47
P2,2014,8,157346.58
P2,2014,9,109584.47
P2,2014,10,85833.96
P2,2014,11,123610.69
P2,2014,12,86959.55
P2,2015,1,76081.85
P2,2015,2,91851.6
P2,2015,3,111095.8
P2,2015,4,103780.52
P2,2015,5,142790.91
P2,2015,6,291725.35
P2,2015,7,165286.39
P2,2015,8,107346.46
P2,2015,9,57505.66
P3,2013,1,31625.84
P3,2013,2,42504.41
P3,2013,3,49703.48
P3,2013,4,42516.17
P3,2013,5,37565.42
P3,2013,6,68606.14
P3,2013,7,60466.95
P3,2013,8,71870.04
P3,2013,9,59282.8
P3,2013,10,38026.71
P3,2013,11,62223.99
P3,2013,12,49314.78
P3,2014,1,23138.48
P3,2014,2,30654.98
P3,2014,3,46913.37
P3,2014,4,53349.84
P3,2014,5,40517.51
P3,2014,6,69155.5
P3,2014,7,28369.8
P3,2014,8,37449.1
P3,2014,9,36702.83
P3,2014,10,38339.04
P3,2014,11,52029.11
P3,2014,12,23462.85
P3,2015,1,27150.72
P3,2015,2,29505.02
P3,2015,3,36194.68
P3,2015,4,37190.72
P3,2015,5,29231.84
P3,2015,6,66469.38
P3,2015,7,36807.85
P3,2015,8,32389.5
P3,2015,9,23154.64
P4,2014,3,3268.25
P4,2014,4,5795.08
P4,2014,5,4667.17
P4,2014,6,7143.98
P4,2014,7,8801.15
P4,2014,8,28944.01
P4,2014,9,59861.66
P4,2014,10,56392.1
P4,2014,11,47275.3
P4,2014,12,37426.1
P4,2015,1,29159.95
P4,2015,2,34379.91
P4,2015,3,36150.68
P4,2015,4,73627.01
P4,2015,5,36277.08
P4,2015,6,36504.44
P4,2015,7,34833.59
P4,2015,8,20449.7
P4,2015,9,21890.24
P5,2013,5,66.19
P5,2013,6,2023.93
P5,2013,7,1992.93
P5,2013,8,3126.37
P5,2013,9,9967.18
P5,2013,10,4899.9
P5,2013,11,29317.43
P5,2013,12,13712.97
P5,2014,1,7765.24
P5,2014,2,17147.95
P5,2014,3,16908.43
P5,2014,4,13902.38
P5,2014,5,17343.08
P5,2014,6,11219.52
P5,2014,7,12279.01
P5,2014,8,15191.93
P5,2014,9,25160.84
P5,2014,10,29015.15
P5,2014,11,35086.45
P5,2014,12,26507.39
P5,2015,1,28087.04
P5,2015,2,25014.85
P5,2015,3,32309.1
P5,2015,4,37087.3
P5,2015,5,44365.79
P5,2015,6,31650.31
P5,2015,7,50134.4
P5,2015,8,29456.48
P5,2015,9,22264.58
P6,2013,1,18019.96
P6,2013,2,23021.98
P6,2013,3,44791.16
P6,2013,4,14678.59
P6,2013,5,28354.08
P6,2013,6,38995.77
P6,2013,7,42229.35
P6,2013,8,17645.46
P6,2013,9,31742.93
P6,2013,10,30672.46
P6,2013,11,32135.69
P6,2013,12,23154.3
P6,2014,1,20311.4
P6,2014,2,41370.69
P6,2014,3,48101.19
P6,2014,4,24362.4
P6,2014,5,25870.93
P6,2014,6,35663.06
P6,2014,7,41725.19
P6,2014,8,36308.11
P6,2014,9,29955.34
P6,2014,10,25890.13
P6,2014,11,42619.6
P6,2014,12,43838.03
P6,2015,1,17999.93
P6,2015,2,27397.79
P6,2015,3,37955.52
P6,2015,4,21313.42
P6,2015,5,22293.76
P6,2015,6,27677.22
P6,2015,7,31586.58
P6,2015,8,36352.32
P6,2015,9,21084.4
P7,2013,1,15335.21
P7,2013,2,30080.66
P7,2013,3,37801.45
P7,2013,4,57747.08
P7,2013,5,33241.57
P7,2013,6,36049.52
P7,2013,7,31262.16
P7,2013,8,19926.8
P7,2013,9,30947.97
P7,2013,10,22238.9
P7,2013,11,52949.57
P7,2013,12,16685.61
P7,2014,1,11973.75
P7,2014,2,17291.2
P7,2014,3,71917.5
P7,2014,4,35169.35
P7,2014,5,62442.37
P7,2014,6,76605.37
P7,2014,7,53144.6
P7,2014,8,35664.33
P7,2014,9,31910.97
P7,2014,10,40246.82
P7,2014,11,54818.48
P7,2014,12,62514.98
P7,2015,1,30908.25
P7,2015,2,43822.42
P7,2015,3,59915.59
P7,2015,4,35768.4
P7,2015,5,54975.32
P7,2015,6,64697.39
P7,2015,7,50872.11
P7,2015,8,61126.37
P7,2015,9,50979.11
P8,2013,5,759.46
P8,2013,6,367.28
P8,2013,7,7254
P8,2013,8,1285.7
P8,2013,9,28924.86
P8,2013,10,12307.54
P8,2013,11,22534.69
P8,2013,12,9055
P8,2014,1,4827.59
P8,2014,2,13517.97
P8,2014,3,24172.76
P8,2014,4,8994.74
P8,2014,5,16012.32
P8,2014,6,19430.34
P8,2014,7,20709.83
P8,2014,8,23373.49
P8,2014,9,25977.99
P8,2014,10,16324.77
P8,2014,11,23421.64
